[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-08-12 - URODZINY 2
SURVEY DATE: 8 12 2018  COMMENT:   Jakub Pysz (Palm), Adam Wladzinski, Filip Filar
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
[495] Ciekawa Interessante Höhle
SURVEY NAME: 2017-08-11 - BOCZNA ODNOGA
SURVEY DATE: 8 11 2017  COMMENT:   Dariusz Lubomski (Palm), Adam Wladzinski(Disto-X), Tomasz Olczak(spray)
SURVEY TEAM:

DECLINATION:     3.42  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

ws086        AB:1.0           0.00     0.00     0.00     0.00     0.00     0.00     0.00
AB:1.0       AB:1.1          21.62   128.81   -19.85     0.00     0.00     0.00     0.00
AB:1.1       AB:1.2           7.19   156.36    -5.54     0.00     0.00     0.00     0.00
AB:1.2       AB:1.3           6.46   114.42    13.96     0.00     0.00     0.00     0.00
AB:1.3       AB:1.4           9.22   100.99    11.47     0.00     0.00     0.00     0.00
AB:1.4       AB:1.5          12.50   129.39    14.35     0.00     0.00     0.00     0.00
AB:1.5       AB:1.6          16.14    19.56   -10.89     0.00     0.00     0.00     0.00
AB:1.5       AB:1.7          16.01   264.15    -9.99     0.00     0.00     0.00     0.00
AB:1.7       AB:1.8           7.64   167.23    -6.84     0.00     0.00     0.00     0.00
AB:1.8       AB:1.9           5.74   124.64    14.37     0.00     0.00     0.00     0.00
AB:1.9       AB:1.10          6.40   236.89    12.52     0.00     0.00     0.00     0.00
AB:1.10      AB:1.11         12.63   167.20   -10.43     0.00     0.00     0.00     0.00
AB:1.11      AB:1.12          9.22   125.31    12.99     0.00     0.00     0.00     0.00
AB:1.12      AB:1.13          6.59   183.13   -16.27     0.00     0.00     0.00     0.00
AB:1.13      AB:1.14         11.06   135.04   -57.50     0.00     0.00     0.00     0.00
AB:1.14      AB:1.14.a       12.14   175.53   -65.17     0.00     0.00     0.00     0.00  ;domiar

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2017-08-09 - MEANDER CHORYCH SNóW
SURVEY DATE: 8 9 2017  COMMENT:    Arek Kus (Palm + Spray), Marek Stawiasz (disto), SÅ‚awek Heteniak (przyÅ›piewki ludowe)
SURVEY TEAM:

DECLINATION:     3.42  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

U:1.37       AC:1.1           0.00     0.00     0.00     0.00     0.00     0.00     0.00
AC:1.1       AC:1.2          18.11   205.11     9.81     0.00     0.00     0.00     0.00  ;1.0
AC:1.2       AC:1.3          12.76   162.52    -6.41     0.00     0.00     0.00     0.00
AC:1.3       AC:1.4           5.54   237.20   -25.22     0.00     0.00     0.00     0.00
AC:1.4       AC:1.5          17.98   152.33    19.33     0.00     0.00     0.00     0.00
AC:1.5       AC:1.6          12.37   244.13   -22.53     0.00     0.00     0.00     0.00
AC:1.6       AC:1.7          11.88   239.36   -52.97     0.00     0.00     0.00     0.00
AC:1.7       AC:1.8          19.85   289.08    60.44     0.00     0.00     0.00     0.00
AC:1.8       AC:1.9          13.94   314.21    66.49     0.00     0.00     0.00     0.00
AC:1.9       AC:1.10         10.20   168.26    27.95     0.00     0.00     0.00     0.00
